"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"29075 (1950 DA)","2880-2880","1","1.2e-4","14.10","17.6","1.300","-1.42","-1.42","","a0029075"
"101955 Bennu (1999 RQ36)","2175-2199","78","3.7e-4","5.99","20.2","0.490","-1.69","-2.30","","a0101955"
"99942 Apophis (2004 MN4)","2060-2105","12","8.9e-6","5.85","19.1","0.370","-2.78","-2.88","0","a0099942"
"(2000 SG344)","2069-2113","101","2.6e-3","1.36","24.8","0.037","-2.84","-3.21","0","bK00SY4G"
"(2009 JF1)","2022-2022","1","2.6e-4","23.92","27.1","0.013","-2.88","-2.88","0","bK09J01F"
"(2007 FT3)","2024-2116","164","1.4e-6","17.06","20.0","0.340","-2.99","-3.55","0","bK07F03T"
"(2008 JL3)","2027-2119","27","1.6e-4","8.42","25.3","0.029","-3.23","-3.24","0","bK08J03L"
"(2010 RF12)","2095-2119","59","4.7e-2","5.10","28.4","0.007","-3.32","-3.33","0","bK10R12F"
"(2005 QK76)","2030-2107","9","6.8e-5","19.67","25.2","0.031","-3.45","-3.59","0","bK05Q76K"
"(2018 VP1)","2020-2025","3","4.1e-3","9.53","30.9","0.002","-3.57","-3.57","0","bK18V01P"
"(1994 GK)","2051-2067","5","6.9e-5","14.87","24.2","0.048","-3.62","-3.63","0","bJ94G00K"
"(2005 ED224)","2023-2064","5","2.6e-6","24.96","24.0","0.054","-3.62","-3.64","0","bK05EM4D"
"(2008 UB7)","2048-2100","31","3.5e-5","18.51","23.8","0.058","-3.69","-4.30","0","bK08U07B"
"(2000 SB45)","2074-2113","101","1.6e-4","7.53","24.3","0.046","-3.75","-4.22","0","bK00S45B"
"(2017 US)","2085-2111","16","1.4e-3","4.53","26.0","0.021","-3.76","-4.03","0","bK17U00S"
"(2012 HG2)","2052-2119","469","2.8e-3","3.33","27.0","0.014","-3.76","-4.26","0","bK12H02G"
"(2012 QD8)","2042-2105","4","6.5e-6","20.76","23.1","0.081","-3.76","-3.90","0","bK12Q08D"
"(2020 FT3)","2089-2119","13","3.6e-5","8.72","23.2","0.079","-3.81","-3.84","0","bK20F03T"
"(2007 DX40)","2030-2111","41","6.2e-5","15.53","24.6","0.040","-3.82","-4.23","0","bK07D40X"
"(2008 EX5)","2061-2090","16","4.7e-5","9.92","23.8","0.059","-3.86","-4.14","0","bK08E05X"
"(2013 VW13)","2071-2084","9","4.3e-4","16.35","26.2","0.019","-3.90","-4.07","0","bK13V13W"